SIRUTA,Yhat.GWR.GLM
34173,-0.011762
104243,-0.0138889
143557,0.109178
4142,-0.0113139
128221,-0.0459665
96478,-0.0309134
166707,-0.0590796
167696,-0.0420563
110063,-0.0629056
166057,-0.0517191
164749,-0.0351542
21891,-0.0682013
94125,-0.0546736
43180,-0.0608988
29341,-0.0633063
61808,-0.0612617
153277,-0.0211825
52035,-0.0749764
9538,-0.0405118
145738,0.018039
146432,0.1330517
94456,-0.0941597
110296,0.031997
138734,-0.0301385
153437,-0.0577257
52115,-0.0663465
46769,-0.0236732
179784,-0.0482398
148514,-0.0467299
68280,-0.0445076
77288,-0.0556138
171628,-0.0524599
100923,-0.0525951
16365,0.0540482
15983,-0.0691726
167473,-0.0162076
39532,-0.0607649
41701,-0.053301
150258,-0.0318187
17913,-0.030897
18778,-0.0438045
101662,-0.0232326
36649,-0.0622042
101001,-0.0362968
63802,-0.0177163
116590,-0.0097396
155350,-0.0466374
163832,-0.0537227
63526,-0.0651303
156259,-0.0281076
138501,-0.0200675
82314,-0.0569345
20778,-0.051799
127288,-0.0516884
62020,-0.0610838
101957,-0.003702
145042,-0.0688475
87996,-0.0169137
152234,-0.0182212
105794,-0.0521002
107519,-0.0155192
169547,-0.0950623
70726,-0.0406029
84415,-0.0499449
112076,-0.0403706
130302,-0.0433096
145382,-0.0182784
105829,-0.0465474
49153,-0.0375096
11236,-0.0550843
78828,-0.0283772
157317,-0.0318596
100326,-0.0416027
83561,-0.0347878
134559,-0.0476524
176793,-0.0373902
101564,-0.0374648
72882,-0.0600281
63553,-0.0255121
120502,-0.0592738
10051,-0.0392359
179962,-0.0541035
97063,-0.0504834
95391,-0.042435
77595,-0.049898
77377,-0.0481486
41248,-0.0354136
154709,-0.0456524
10765,-0.0573165
82733,-0.039696
112548,-0.0623744
9627,-0.0460321
138039,-0.0624114
65147,-0.0596253
68404,-0.0473135
106318,-0.0003043
179221,0.1123482
124661,-0.0343198
152252,-0.0456212
28335,-0.0487655
90342,-0.0166281
34155,-0.0500128
110820,-0.0102065
105936,-0.0295145
65139,-0.0464244
140280,-0.0476051
10943,-0.0448684
22059,-0.0623286
81576,-0.0382831
114854,-0.0322863
94376,-0.0158798
127983,-0.0501598
42682,-0.0331283
150702,-0.0669023
54975,0.000325
157362,-0.0200576
105348,0.0011946
151479,-0.0233972
96370,-0.0533272
151816,0.0380705
42753,-0.0778464
153507,-0.0085054
56354,-0.0476422
38848,-0.0490547
87219,-0.0015301
151451,-0.0381035
100969,0.0257051
35839,-0.0040468
79004,-0.0155231
127064,-0.018412
141447,-0.0174882
152948,-0.0429372
110688,-0.0549958
65501,0.0412315
75953,-0.0347672
152724,-0.0739444
39417,-0.061702
128374,-0.0577685
139054,-0.0379113
90805,0.0287285
83525,-0.0318285
73068,0.0616069
80123,-0.0078817
83428,-0.0444135
86810,0.0187954
36952,-0.0605678
63866,-0.0612336
143851,0.0147111
26564,-0.0022332
44560,0.0660266
65154,-0.0686937
99370,-0.0718408
107190,-0.0387432
161856,-0.0696984
121938,-0.0511346
60482,-0.0347302
142774,-0.0171011
93281,-0.0157085
78258,-0.0433279
132574,-0.03294
54305,-0.0473387
32187,-0.0378804
50969,-0.002191
84086,-0.0088129
155092,-0.0561554
49894,-0.0510957
145355,-0.050823
149780,-0.0030082
35731,-0.0453504
113732,-0.0588854
109826,0.0469702
100308,-0.0707115
72926,-0.0446339
108348,-0.0184832
26379,-0.0087541
138574,-0.0443488
39792,-0.0428106
31654,-0.0362874
131933,-0.0045219
68182,0.0348393
137728,-0.0238328
83785,-0.0575955
56988,0.0297304
103639,-0.0500929
176944,-0.0303484
57902,0.0440873
159400,-0.0076726
56014,-0.0356977
129380,-0.0566041
172279,-0.0506401
79932,-0.0553829
116867,-0.0085469
13935,0.1072616
99058,-0.0552438
10195,-0.0228199
128301,-0.0548471
152902,-0.0373302
94312,-0.0412657
91982,0.0277723
27846,-0.0547985
13490,-0.0307662
174520,-0.0604984
140672,-0.0237071
175983,-0.0565282
92569,-0.0224483
24187,-0.0557886
98603,-0.0561624
131899,-0.0026441
38321,-0.0543579
127858,-0.0188248
155662,-0.0600093
93370,-0.0397249
135164,-0.0123466
159883,-0.0224142
156106,-0.0325783
113974,-0.0600958
25629,-0.0622436
15448,-0.0350376
60419,0.0052175
50102,-0.0134115
136768,-0.046823
130534,-0.0086826
21560,0.0016545
179800,-0.0526665
43929,-0.052737
175126,-0.050566
144198,-0.0192284
63125,0.0191924
49545,-0.0564426
168559,-0.0273616
32201,-0.0581619
30988,-0.0081707
154834,-0.0013841
60776,0.0193337
73460,-0.0521505
107083,-0.0555031
100683,-0.0209567
21418,-0.0505984
99209,-0.0501281
64871,0.0095223
34903,-0.0233756
7044,-0.0492299
74616,-0.0665455
118753,-0.0515033
156623,-0.021838
84380,-0.0432806
128588,-0.0356109
56210,-0.0282589
108669,-0.053261
125962,-0.0547309
79362,-0.03492
80506,-0.0695539
160831,-0.0242123
40633,0.0616681
121732,-0.0279271
152760,-0.0275199
38633,-0.055962
135618,-0.0357266
98505,-0.0053138
127368,-0.0123973
153151,-0.0545634
49625,0.1934711
161151,-0.0415837
103997,0.0114829
36426,-0.0220708
40214,0.3265556
144535,-0.0477582
57350,-0.0497286
159419,-0.0354414
155760,-0.0070969
105295,0.1129671
119386,-0.0594807
77331,-0.0164447
115307,-0.0270731
105384,-0.0304843
157530,-0.0146243
12938,0.0421946
105972,-0.0420624
15402,-0.0290461
137899,-0.0600725
57546,-0.07917
151996,-0.068509
175787,-0.058496
157585,-0.0168706
104136,-0.0288714
40606,0.0344948
31422,-0.0490429
151433,-0.0341477
57449,-0.0408263
67675,-0.0535483
45619,-0.0307035
49484,-0.0070918
172340,-0.045777
24524,-0.0385489
41177,-0.0346688
18242,-0.0128749
107314,-0.0328196
34280,0.0120153
16285,-0.0482167
148765,-0.023647
137764,-0.042275
129914,-0.0739531
101083,0.0132141
70637,-0.0510892
51840,-0.0486114
154344,-0.0613975
159650,-0.057821
50549,-0.1163947
133964,0.0059184
95471,-0.0516531
147241,-0.0362303
71536,-0.0631611
4188,-0.0373557
144615,0.0279678
127750,-0.0572066
93325,-0.0470265
75686,-0.0420024
67737,0.0193659
48165,-0.0601636
114603,0.0678958
155494,-0.0621607
55687,0.069412
125150,-0.0236606
102605,0.1286477
43652,-0.0354547
65707,-0.0296924
154380,-0.044987
142177,-0.0479949
168880,0.0467762
59880,-0.0570174
2577,-0.0542019
175206,-0.0439234
29948,-0.0038444
18527,-0.0171852
119242,-0.0680836
104680,-0.0432026
63198,-0.0394307
101298,0.0393838
125114,-0.0608766
107430,0.0016266
141232,-0.058673
131817,-0.0044034
154184,-0.0441734
63161,-0.067117
29243,0.0516568
129460,-0.0274196
146931,-0.0229137
92177,-0.1199444
57314,-0.0170641
76601,-0.0485568
134194,-0.0094313
93236,-0.0177845
130286,-0.0503486
88644,-0.0176746
23289,-0.0528657
24338,-0.0485082
67470,-0.0472318
41113,-0.0235618
140547,-0.0381506
151442,-0.0318855
151585,-0.0639107
136134,-0.0029328
162924,-0.0450718
119590,-0.0003798
103238,-0.0494535
72604,-0.0628909
130339,-0.0463147
27506,-0.0517589
173855,-0.0348008
165470,-0.0706922
14673,-0.0492108
105026,-0.0396535
71518,-0.0641658
112129,-0.0552721
135431,-0.0424942
7099,-0.0389061
162559,-0.0544246
123709,-0.0562025
86222,-0.0493046
48771,-0.0354908
65609,0.0108081
101163,0.0274926
33765,-0.0301057
9690,-0.0159182
153605,-0.0393307
26083,-0.0407271
158065,0.0091122
145408,-0.0098015
65099,-0.0620586
131210,0.0605181
128882,-0.0635224
103407,-0.0475257
153295,-0.0472334
44113,-0.0532349
179588,-0.0275699
23449,-0.0460888
159687,-0.0590308
76674,-0.0303986
65379,0.0236831
175439,-0.0490271
17575,-0.0780774
149753,-0.0265214
107154,-0.0457827
149414,0.0096206
52721,-0.0569407
130712,0.0949308
75356,-0.0354499
173935,-0.0423056
77587,-0.0597165
179249,0.106416
67121,-0.023636
142006,-0.0393203
26877,-0.0310366
133161,0.0452099
53755,-0.0701079
100282,-0.0562907
100736,0.0134491
151157,-0.0593581
78472,-0.0404624
31379,0.0454271
149502,-0.0589773
46019,-0.0286752
93931,-0.0308513
170612,-0.0544209
102446,-0.0360327
111006,-0.0492922
131540,-0.0283434
84102,-0.0422257
33275,-0.0267581
107001,-0.0518729
93539,-0.0318716
68324,-0.0091816
80560,-0.0572493
115183,-0.0340247
14753,-0.0784394
136250,-0.0492601
167277,-0.0479838
16739,-0.0461
59942,-0.0510355
39983,-0.056735
42307,-0.0351987
1696,-0.0208924
126718,-0.0317193
179132,0.0050499
178475,-0.0587855
75917,-0.0790339
147054,-0.0412788
98435,-0.0492055
26920,-0.0938345
160617,-0.0117414
40991,-0.0623386
112370,-0.0580793
178938,-0.040205
32704,-0.0273942
45673,-0.048677
9887,-0.0177196
32195,0.0414281
29573,-0.0528344
47159,-0.0497675
153623,-0.0529968
68887,-0.0598493
160047,-0.0668555
119527,-0.0270212
120487,0.1351137
114382,0.0887578
34422,-0.0630812
179409,-0.60713
94606,-0.0583601
33248,-0.027821
7348,-0.0405963
156437,-0.0301181
34333,-0.0114111
127386,-0.0558921
125347,-0.0195378
179926,-0.0606075
49643,-0.0198931
175019,0.0009482
148293,-0.02547
50790,-0.0526224
8096,0.0097979
132164,-0.0563
116938,-0.0043301
13187,0.2018149
70744,-0.0651179
15554,-0.0643493
33382,-0.0387961
110027,-0.0240872
98220,-0.0289969
28415,-0.0430109
135020,-0.0419372
79157,-0.0494984
10649,-0.0966911
107234,-0.0651658
150310,-0.042135
34360,-0.0233416
62440,-0.0314749
95060,-0.0502292
38544,-0.0679005
39738,-0.0266717
80613,-0.0516669
33015,-0.0515194
125588,-0.0535399
95943,-0.0475158
172894,0.0006333
132342,-0.0488682
19114,-0.0266756
159945,-0.0448861
22488,-0.0681921
117550,-0.0182437
151709,-0.0374762
86883,-0.0470091
120860,-0.0519148
35884,-0.0273591
27686,-0.0498823
128178,-0.0292103
16427,-0.0518191
63394,-0.0315105
59434,0.0089972
56327,-0.061464
24999,-0.0600419
8229,0.0137147
157683,-0.0406945
137611,-0.0314003
94429,-0.032137
139704,-0.0268579
93085,-0.0171408
137292,-0.0434941
6119,-0.0550997
20607,-0.0473526
121607,-0.0235158
102525,0.0442659
159516,-0.0554723
80249,-0.0569136
73503,-0.0613884
60632,0.0720263
59327,-0.0013345
50326,-0.0627051
93575,-0.0154956
57083,-0.0339612
161348,0.0180454
140440,-0.0378488
137675,0.0232304
85341,0.0301485
23868,-0.0644857
136642,-0.0556867
45496,-0.0290575
85680,0.0910425
52936,0.0260252
25932,-0.0682235
107868,-0.0039717
28193,-0.0419471
75472,-0.0619945
147072,-0.0510257
73102,-0.0512783
152350,-0.048892
178929,-0.0507226
22718,-0.059738
72640,-0.0628573
112904,-0.0485354
176891,-0.0424849
41667,0.0115952
163002,-0.0593054
96888,-0.0670591
31011,-0.0036541
107920,-0.0167699
155127,-0.0474113
11058,-0.0264875
61737,-0.0593178
155957,-0.0493049
22460,-0.045527
127019,-0.0409819
161302,0.0277065
65645,-0.0055803
104225,-0.0306578
132716,-0.0000252
51387,-0.0574653
43787,-0.0467675
104635,-0.0190184
103354,-0.0552387
43466,-0.0401153
18670,-0.0194992
32090,-0.0533539
93441,-0.0412817
81184,-0.0189168
18162,-0.0326656
115076,0.006534
69447,-0.0445594
153473,-0.0729795
130954,0.0046302
154852,-0.0395001
149851,-0.0363052
132486,-0.0584305
142426,0.0433056
134390,0.1944338
148382,-0.053278
177726,-0.0309821
70174,0.0321066
120478,-0.0386913
33881,-0.0603262
164543,-0.0526881
74171,-0.06119
160680,-0.0307843
60847,-0.0564334
92836,0.0621808
166672,-0.0483478
156151,-0.06499
50564,-0.0481003
73594,-0.0540824
112245,0.0265846
163253,-0.0665684
83133,-0.0021906
124233,-0.0233749
152500,-0.047612
69250,-0.0328084
135725,-0.0029725
64719,-0.0496459
96058,-0.0589882
75150,0.1317275
95747,0.0389424
73736,-0.0689389
30274,0.0307092
124493,0.0158421
77475,-0.0435818
91731,-0.0470492
12144,-0.0050116
36060,-0.0633482
91232,-0.0024644
59826,-0.0175969
32544,-0.0499913
42771,-0.0624378
28497,-0.0495533
162327,-0.0593625
114453,0.0477385
113395,-0.0586487
153589,-0.0523483
87291,-0.041748
101840,-0.0435367
102703,-0.0172987
136278,-0.0578066
64345,-0.0209857
53577,-0.0499694
139982,-0.0340948
100004,-0.0480598
107975,0.0003422
136483,-0.0097843
87139,-0.0379068
85840,-0.0363055
112263,-0.0606615
179855,-0.048363
74923,-0.0570896
179837,-0.0231105
130366,-0.0501681
65431,0.0583466
138084,0.0179707
93067,-0.0365959
93021,0.0576199
86133,-0.0253701
129987,-0.0574318
153972,-0.0598784
159491,-0.022537
95239,0.0745441
74859,0.3552223
8014,0.0276978
47630,-0.0496848
162452,-0.050993
178956,-0.0199381
162194,-0.0069897
6397,-0.0633467
26840,-0.0418412
56666,-0.023401
134755,-0.043848
74956,-0.064
173686,-0.0424541
57706,0.0837603
166137,-0.0570036
169253,-0.0362928
169182,-0.0158498
51010,-0.0588695
51804,-0.0272909
115520,-0.0296982
158966,-0.0122295
63447,-0.0622811
17423,0.0117824
176338,-0.0486939
142239,0.0854479
27169,-0.0171226
33541,-0.0060398
125105,-0.0472798
70986,-0.0818905
154497,-0.0443509
174496,-0.0581434
122463,-0.0485135
3841,-0.1160528
98738,-0.045634
149227,-0.0397046
45334,-0.0637393
36499,-0.2189986
87576,-0.0047723
76718,-0.0536003
146502,-0.0796789
145827,0.084337
51056,-0.0491028
149316,-0.0231746
121153,0.0121066
46867,-0.0426042
37057,-0.060225
93735,-0.0272057
11995,-0.0209304
153062,-0.0303471
75338,-0.0650735
87175,-0.0175343
24837,-0.0586289
121466,-0.0526637
16132,-0.0060301
44462,-0.0320032
126022,-0.0447721
122613,-0.0690814
139143,-0.0332766
9333,0.060107
73629,0.2674633
33435,-0.0494617
140869,-0.0601673
144893,-0.068007
3459,-0.0450214
132805,0.027396
54699,-0.0563349
126503,-0.0554821
108151,-0.0305232
59041,0.012705
100521,-0.042757
126228,-0.0522644
62360,0.0063125
125999,-0.0232384
12091,-0.0567656
142612,-0.0521454
177879,-0.0589019
152662,-0.0418309
171325,-0.017347
46439,-0.0673005
34075,-0.013455
109773,-0.0534526
61256,-0.0588796
103960,-0.0453699
164277,-0.0566351
58552,0.0023878
175260,-0.0630464
69303,-0.0463966
124803,-0.0472972
144232,-0.0010524
19249,-0.0359724
13999,-0.0390843
25825,0.0169077
136241,-0.0281992
113894,-0.0620422
118469,-0.0308142
125141,-0.0704374
179828,-0.0541412
160528,-0.0611086
87362,-0.0239544
35054,-0.0549122
152172,-0.0512618
150935,0.0069516
42913,-0.026394
104118,-0.0384253
104582,-0.0074535
17771,0.1071659
160261,0.0506535
130678,0.0983944
84629,0.0191837
156213,0.0077203
53639,-0.0533875
79237,-0.058008
46108,-0.0926456
31716,-0.0310252
155546,0.0974475
9459,0.0219938
44328,-0.0530891
80846,0.0845317
14450,-0.0513588
69615,-0.0526581
63152,-0.0141115
145293,0.0077378
12920,-0.0383873
148426,-0.0351604
85056,-0.0356238
32633,-0.0306435
95499,0.0084951
91535,-0.059908
90119,-0.0474279
9280,0.0207586
159785,0.0005547
28077,-0.0488976
175509,-0.0623354
84656,-0.0396314
112959,-0.06812
1348,-0.0313743
142337,-0.0514973
103309,-0.0639129
151077,-0.0108059
91624,-0.0779157
62903,0.01083
160644,-0.0351454
137229,-0.0209842
46910,-0.0199484
17851,-0.0271131
25488,-0.0514661
163789,-0.0498246
40465,-0.0544323
34770,-0.0316538
67906,-0.0181528
60099,-0.0364404
172377,-0.0548492
171272,-0.0524968
126674,-0.0600303
141535,-0.0487046
87246,0.0644951
119331,-0.0755177
71607,-0.0518265
101804,0.0083827
71858,-0.0439252
48842,-0.0473856
103568,-0.0458345
175732,-0.0555014
122551,-0.0291948
65752,-0.00013
35759,0.013615
125472,-0.0530012
143888,-0.0458955
159525,-0.0608755
145220,-0.0533462
30416,0.0043278
74028,-0.0707024
121108,-0.0101846
81415,-0.0532801
143806,-0.0275349
48682,-0.033693
150445,-0.0030748
27212,-0.0079284
179980,-0.0414383
158010,0.0280973
129585,-0.0470816
38580,-0.0543639
174290,-0.0501593
179533,0.1165913
13757,0.012342
46377,-0.0572578
115147,-0.0447121
55838,0.0593618
102909,0.0043864
12126,0.0246772
44989,-0.053478
10532,-0.046698
127536,-0.0469253
112771,-0.0598504
37217,-0.0025671
2915,-0.0442946
109354,0.00346
96940,-0.0223512
74242,-0.0606298
159482,-0.0499761
62798,-0.0270243
39959,-0.0782015
158608,-0.0367031
121242,-0.0414459
56773,-0.0543919
53247,-0.0471817
64773,0.0351339
30069,0.000392
151497,-0.0360221
138869,-0.0598196
155403,-0.0483218
93209,-0.0356332
85467,-0.0692557
73013,-0.0781492
111275,-0.0398556
37672,-0.057285
168675,-0.0360596
160172,-0.0543135
86687,-0.0123465
127224,-0.0493564
39694,-0.0517688
127625,-0.0530446
146995,-0.0352228
76996,-0.046017
166182,-0.0558611
58794,-0.0540594
78454,-0.0715511
18475,-0.0197173
140501,-0.0437526
74359,-0.0478836
75515,-0.0466461
69170,-0.0490853
53103,-0.047503
6048,-0.0511467
95293,0.0154094
133330,0.0401435
93646,-0.0135846
94768,-0.0460407
116723,-0.0580143
133615,-0.0473632
159428,-0.036415
113493,-0.0585515
34645,-0.0397674
125757,-0.0662257
124634,-0.036603
165336,-0.0554999
4240,-0.0137442
178885,-0.0541662
33729,-0.0224397
11584,0.0277468
51118,-0.0638584
154665,-0.0476398
124938,0.0267194
69394,-0.0590718
54485,0.0749359
123479,-0.0328594
84175,-0.0450917
170792,-0.0505616
153909,-0.0858595
145104,-0.0272829
86990,-0.01269
75098,-0.025991
146370,-0.004372
137540,-0.0313279
137103,-0.0578544
161543,-0.0488018
101341,-0.0608542
174156,0.0296034
132681,-0.0258549
156035,0.0366875
100317,-0.0655357
24089,-0.0669627
5210,-0.0193298
92989,-0.0440862
84460,-0.0434503
80285,0.1042841
90208,-0.0190395
39266,-0.054859
2988,-0.0494829
100870,0.0414822
94107,-0.0295151
26582,0.1623567
180037,-0.0635246
113607,-0.0508392
114514,-0.036744
69964,-0.0148708
179864,-0.0063247
137960,-0.014563
40241,-0.0296496
59283,-0.0490456
105570,0.1641468
53675,-0.0085593
87843,-0.0536404
56461,-0.0368696
126772,-0.0308085
130231,-0.062772
179775,-0.0139398
11735,-0.0566699
65841,-0.0533559
4268,-0.0529873
2130,0.0052673
61069,-0.055818
129745,-0.0555891
115897,-0.0587911
97919,0.0652472
140477,-0.0299746
1794,0.0111705
106648,-0.0079074
77910,-0.007368
167071,-0.0365095
111444,-0.0661736
130320,-0.060971
75221,-0.0222726
131407,-0.0250279
47079,-0.0476976
119723,0.0138477
54412,-0.0362013
144303,-0.0251544
57948,-0.022042
10417,-0.0334006
4302,-0.0526422
111587,-0.0676793
96334,-0.070514
117925,0.0799508
98337,-0.0447865
88788,0.0314494
94269,-0.0581941
71634,-0.06117
99539,-0.0578816
89428,-0.0526096
74867,-0.0549188
152412,-0.050132
162149,-0.0613196
61513,-0.0261209
26804,-0.0310649
56568,-0.0305268
105712,-0.0317718
171021,-0.0173398
162498,-0.0455632
65681,-0.0328751
149655,-0.0328818
125622,-0.059843
153829,-0.0339129
40857,-0.0590359
60598,0.0453412
108696,-0.0472153
179999,-0.056083
12849,-0.0277419
43563,-0.0116101
142854,-0.0585484
102348,-0.0446635
41284,-0.0564344
6976,0.0003536
71199,-0.0386497
7945,-0.0234233
58918,-0.0245281
19695,-0.0404339
127251,-0.0278656
108017,-0.0364231
93717,-0.0366113
142499,-0.0788379
37280,-0.0543301
159464,-0.0445035
101458,-0.0445275
149138,-0.034137
29092,-0.0069791
154585,-0.0620595
166315,-0.0598098
25362,-0.0630479
44257,-0.0560279
50479,-0.0395668
14922,-0.0088472
26742,0.003202
158109,-0.0085677
94688,-0.0228294
149370,-0.012944
63286,0.0448688
151549,-0.0555913
159473,-0.0280846
113518,-0.0549353
179463,0.1154464
158528,-0.0213116
81754,-0.0530055
178689,-0.0304391
42464,-0.0194273
131256,-0.0199027
119625,-0.0070082
124117,-0.0555644
159339,-0.0106056
21971,-0.0568294
55446,-0.0513263
64639,-0.0286879
10006,-0.0586588
113625,-0.0564761
141946,-0.0437126
91447,-0.0615206
118511,-0.0690133
46313,-0.036862
41417,0.1212093
34477,-0.0463721
